ID Product,Product Description,ID Product Category
224780,FARINHA ESPIGA AMIDO MILHO LUS.2KG,FARINHAS
276806,LARANJA CAL7 (67/76) RCH,FRUTAS FRESCAS
276809,LIMAO CAL 3/4 RCH,FRUTAS FRESCAS
277674,COGUMELO BRANCO MÉDIO RCH,LEGUMES FRESCOS
277917,TOMATE BB 67/82 1CAM RCH,LEGUMES FRESCOS
278283,COUVE CORACAO DE BOI C/FOLHAS RCH,LEGUMES FRESCOS
370069,BATATA CONSERVAÇÃO P/ ASSAR BCA 10KG RCH,HORTÍCOLAS CONSERVAÇÃO
370149,CENOURA SC10KG (CAL25/40) RCH,LEGUMES FRESCOS
381775,CEBOLA CAL85+ SC15KG RCH,HORTÍCOLAS CONSERVAÇÃO
521206,ARROZ CAROLINO MASTERCHEF 1KG,ARROZ
621958,LEITE MCHEF UHT M/GORDO LT,LEITE UHT REGULAR
637950,FRUTOS VERMELHOS MCHEF 1KG,FRUTAS
666149,ALHOS SECOS CAL 40/60 SC 6KG RCH,HORTÍCOLAS CONSERVAÇÃO
667371,VINAGRE MCHEF BALSAMICO PET  2LT,VINAGRES
721718,"BANHA MCHEF BALDE 4,75KG",BANHA
724038,BEB ESPIRITUOSA 1920 1LT,BRANDY
847546,CANELA MCHEF PAU SC 500GR,ESPECIARIAS
857504,LEITE DE COCO ORIENTAL CHEF 400ML AF,LEITE DE COCO
906800,MOLHO INGLES UNCLE THOMAS 1 LT,MOLHOS
917036,L GORD MCHEF EXTRA FORTE 5LT,MULTIUSOS
927088,POLPA TOMATE MCHEF 1LT,CONSERVAS VEGETAIS
53407,AZEITE MCHEF 3LT,AZEITES
103212,"BAT. PAL. 10/10 MCHEF CONG 2,5KG",BATATA
478338,"MIGAS PALOCO 2,5 KG",AFINS DE BACALHAU
483561,OVOS MCHEF 5DZ M INDUSTRIA,OVOS GAIOLA
499923,"BATATA CUBOS 12/12 PRE-FRITA MCHEF 2,5KG",BATATA
578318,OLEO ALIMENTAR MCHEF 10 LT,ÓLEOS
699133,FIAMBRE CASA PORTUGUESA BARRA KG,FIAMBRES
815111,FRANGO QUARTO TRASEIRO CONG BLOCO,AVES / CAÇA / COELHO
865304,PIZZATOPPING FIOS ARLA PRO 2KG,OUTROS QUEIJOS
903222,ARROZ VAPORZADO MASTERCHEF 1KG,ARROZ
916908,MASSA MCHEF TAGLIATELLE 500G,MASSAS
912742,FEIJAO FRADE  UNCLE THOMAS 820 GR,CONSERVAS VEGETAIS
269462,CERV C/ALC BUDWEISER 33CL,CERVEJAS INTERNACIONAIS
53397,"PICKLES MASTER CHEF 4,5 KG",CONSERVAS VEGETAIS
276633,ABACATE RCH,FRUTAS FRESCAS
396200,QUEIJO GOURMES VO CURADO 3X75GR,QUEIJO PRATINHO
416540,BOV LOMBO 4/5 LBS S/C BRASIL CONG CC,BOVINO
471187,BOVINO CENTRO ALCATRA EUROPA VÁCUO CC,BOVINO
494403,POLVO CONGELADO MASTERCHEF 4000/6000,CEFALÓPODES
523944,ARROZ PATO REAL AGULHA 1 KG,ARROZ
581519,GELATINA 5 FOLHAS JERONIMOS 9G,SOBREMESAS
670152,MOSTARDA MCHEF 5KG,MOLHOS
692893,RUCÚLA SELVAGEM  HOTFORM 400G RCH,4A GAMA
700737,AZEITE MCHEF 5LT- MP,AZEITES
707764,MANTEIGA RENY PICOT C/SAL 1KG,MANTEIGAS
708978,NATA BATER RENY PICOT 1L 35%GO,NATAS
748964,QUEIJO GRANA PADANO DOP FERRARINI 180G,OUTROS QUEIJOS ESTRANGEIROS
776344,SPRAY CHANTILY SNEL 500 GR,NATAS
818501,AMENDOA MCHEF LAMINADA S/P 1KG,FRUTOS SECOS
824004,LEITE CONDENSADO AMANH COZIDO 385GR,SOBREMESAS
840535,QUEIJO PALHAIS CHEVRE 1KG,OUTROS QUEIJOS ESTRANGEIROS
879894,ACUCAR AMANH BCO PAP KG,AÇÚCAR
887865,QUEIJO BRIE PRÉSIDENT 200G,OUTROS QUEIJOS ESTRANGEIROS
901555,BACON EXTRA METADES MASTERCHEF KG,BACON
956634,QUEIJO EDAM OLDENBURGUER BARRA KG,EDAM
101639,"FARINHA MAIZENA 2,5 KG",FARINHAS
118827,MOLHO PIRI-PIRI MACARICO KG,MOLHOS
589377,POLPA DE TOMATE GULOSO 1KG,CONSERVAS VEGETAIS
697089,"COGUMELOS FERBA CORT.2,5KG",CONSERVAS VEGETAIS
711215,REF.CHISPA LARANJA S/G 2LT,NÃO CARBONATADOS
806215,OLEO TEMPERO VIVAZ PET 5LT,ÓLEOS
824525,WHISKY MALTE CARDHU GOLD RESERVE 70CL,WHISKY
828437,LEITE CONDENSADO BELAVILA 1KG,SOBREMESAS
903221,ARROZ VAPORIZADO AMANHECER 1KG,ARROZ
968777,OLEO ALIM PROFIS MESA PORTUGUESA 10LT,ÓLEOS
370076,BATATA CONS VERM CAL45+ 20KG RCH,HORTÍCOLAS CONSERVAÇÃO
734459,DOURADAS CASEIRAS RODELAS 500G,APERITIVOS E BATATA FRITA
11001,FARINHA BRANCA DE NEVE FINA 1KG,FARINHAS
317962,NÉCTAR COMPAL CLÁSSICO MANGA 1L,NÉCTARES
457301,FIAMBRE DA PERNA EXTRA MASTERCHEF,FIAMBRES
475002,ESPARGUETE MASTERCHEF 1KG,MASSAS
521205,ARROZ AGULHA MASTERCHEF 1 KG,ARROZ
605418,CAFÉ EM GRÃO LOTE CHÁVENA DELTA 1KG,CAFÉS E MISTURAS
629613,SOB GELLI SWEET ANANÁS 4X100G,GELATINAS
629616,SOB GELLI SWEET MORANGO 4X100G,GELATINAS
641186,BOL MARIA VIEIRA DOSES 300G,BOLACHAS
647447,INFUSAO GOURMES CIDREIRA 25 SAQ,CHÁS E INFUSÕES
655700,IOG.AMANHECER BANANA 125GR,IOGURTES
655701,IOG.AMANHECER TUTTI FRUTTI 125GR,IOGURTES
655704,IOG.AMANHECER MORANGO 125GR,IOGURTES
664298,PORCO CACHAÇO S/ OSSO VÁCUO C03,SUINO
692028,"IOGURTE AMANHECER NATURAL 0,125",IOGURTES
716133,AGUA C/GAS PEDRAS SALGADAS 25CL,ÁGUAS COM GÁS
806114,VITELÃO PÁ EKRO CC,BOVINO
817094,LEITE AMANH UHT MAGRO LT,LEITE UHT REGULAR
838459,IOG AMANHECER AROMA LIQ MORANGO 170ML,IOGURTES
838479,IOG AMANHECER AROMA LIQ PINACOL.170ML,IOGURTES
846287,PORCO TIRAS ENT RIVASAM CG KG,SUINO
962539,MANTEIGA COIMBRA COM SAL 1 KG,MANTEIGAS
106734,ROUX KNORR 1 KG,MOLHOS
119036,"ÁGUA SÃO MARTINHO 1,5LT",ÁGUAS LISAS
451586,TOMATE PELADO MCHEF 780GR,CONSERVAS VEGETAIS
514921,ALHEIRA DETINHA EUROFUMEIRO KG,ALHEIRAS
534967,QUEIJO OVELHA CUR AMANTEIGADO MCHEF KG,QUEIJOS PRATO
582138,ICE TEA LIVE AMANHECER MANGA 1.5LT,NÃO CARBONATADOS
590007,"REF 7UP ORIGINAL 1,5LT",CARBONATADOS
593662,OLEO ALIMENTAR MCHEF 5 LT,ÓLEOS
622341,PAO RALADO MCHEF 1 KG,PRODUTOS DE PADARIA
709049,LEITE EST.ATLANTICO UHT M/G LT,LEITE UHT REGULAR
761134,NATAS VAQUEIRO CR.&CR.31%1L FS,NATAS
806216,OLEO ALTO RENDIMENTO CINTRA PET 10 LT,ÓLEOS
883771,POLVO ROTO S/CALIBRE CG KG,CEFALÓPODES
896475,PRESUNTO DUROC 12M ARTYSAN FAT 500GR,PRESUNTOS
915238,DET LOICA MCHEF 10LT,DETERGENTE LOIÇA
